DroppedCount,BlockedCount
58,40
43,26
35,14
46,33
36,27
39,22
68,32
48,33
68,25
39,26
54,21
65,35
42,38
51,35
43,27
29,28
38,26
71,26
36,19
37,30
51,27
66,38
28,22
50,21
49,23
56,29
63,27
38,30
36,25
53,31
44,29
40,29
47,31
49,40
54,24
55,18
46,26
38,20
46,33
56,27
67,42
50,27
39,20
29,17
54,23
40,25
37,25
44,18
44,32
52,29
34,22
45,25
55,25
41,22
55,30
43,22
35,17
46,28
40,22
56,27
44,16
65,30
36,16
34,23
52,28
43,27
46,31
51,27
36,27
31,24
42,23
47,35
46,19
52,26
59,39
51,31
43,32
38,33
37,28
44,29
32,20
62,31
52,27
45,29
54,24
47,25
47,27
37,36
49,31
51,26
68,39
78,34
32,22
36,18
33,13
41,24
49,21
53,23
45,32
45,24
55,27
48,29
32,26
49,26
45,31
40,27
36,20
56,23
71,36
36,24
51,39
45,29
36,21
48,28
42,18
42,23
76,32
35,25
35,25
41,33
50,31
43,31
37,22
38,27
39,15
54,34
44,23
61,28
47,27
53,26
40,40
40,22
53,31
52,20
38,33
49,26
44,34
46,26
44,28
49,25
40,30
35,28
39,31
54,39
36,38
44,29
34,26
58,41
51,28
41,23
29,21
43,32
59,22
43,28
36,26
44,26
43,29
54,29
42,29
51,18
51,22
42,20
35,26
53,25
55,26
61,29
49,25
46,25
54,29
31,20
45,23
39,25
50,22
49,21
48,43
41,30
38,34
57,23
54,31
53,25
42,29
57,35
56,38
49,27
54,27
59,32
42,29
47,23
52,33
41,28
64,35
60,30
36,27
43,30
37,28
68,31
42,32
46,28
59,36
50,25
44,24
33,27
44,27
37,31
35,29
66,25
29,25
63,30
39,34
40,24
57,33
49,30
49,32
54,27
55,21
31,17
65,31
26,26
54,31
53,25
56,45
37,19
50,15
39,20
35,25
40,32
28,33
26,20
51,31
34,23
45,32
50,24
56,38
51,32
71,30
60,40
29,20
32,22
47,31
44,24
33,16
24,20
36,26
52,38
57,31
50,29
54,41
37,41
44,25
43,26
37,30
31,23
39,17
58,28
44,24
47,21
33,19
55,34
29,24
50,37
78,26
58,25
37,20
46,21
50,24
60,30
54,28
35,26
36,24
47,45
43,31
41,34
45,23
43,28
44,32
45,32
37,28
54,36
33,22
37,21
45,29
63,18
50,30
43,23
71,46
65,28
51,36
59,33
59,26
56,37
50,22
64,30
42,28
44,27
42,21
52,28
48,27
30,26
50,34
61,40
51,26
48,24
42,29
33,18
36,24
60,19
44,43
59,25
38,35
62,34
37,33
42,9
47,28
39,31
55,30
41,26
46,27
51,41
28,28
48,31
56,34
71,35
48,26
41,20
33,20
38,39
59,34
49,24
39,27
50,44
45,19
38,23
42,34
40,26
65,31
59,22
42,36
30,26
45,37
40,21
21,21
60,27
36,21
28,31
54,23
48,24
40,28
48,30
30,26
25,24
60,26
50,23
51,32
55,26
61,27
41,23
45,25
34,33
36,16
45,36
35,17
59,25
56,27
46,35
46,30
48,31
53,27
65,29
54,25
38,36
34,26
57,25
50,29
44,20
28,26
39,34
25,17
55,30
36,28
45,23
35,14
29,22
38,26
60,21
60,36
47,30
40,29
42,29
62,35
48,26
42,34
52,37
49,33
47,28
41,20
41,26
53,33
30,21
42,29
52,29
42,28
50,31
38,32
68,51
63,32
34,17
42,34
36,32
52,32
51,26
42,25
47,38
50,25
47,13
37,24
46,15
48,32
70,45
39,18
49,29
50,23
32,25
57,30
44,27
50,35
57,31
38,31
53,20
45,37
35,22
43,16
49,22
35,31
49,26
39,34
38,17
63,31
51,26
38,23
57,31
51,19
38,21
46,20
58,28
44,17
51,28
50,22
50,23
49,35
38,27
58,30
57,22
62,36
39,31
46,36
40,15
58,41
41,29
52,31
39,28
50,30
38,32
46,39
39,28
43,23
46,13
46,25
35,21
41,22
35,28
41,22
40,16
62,32
71,36
52,34
55,27
55,35
51,30
34,21
43,29
40,21
40,24
44,21
31,28
38,31
38,27
54,34
49,27
70,30
50,18
50,24
45,19
35,29
47,28
45,21
48,22
36,23
42,26
67,41
38,29
